"country_text_id","year","water_ugdp_cap_oecd_num_env","waste_ugdp_cap_oecd_num_env","GHG_ugdp_oecd_num_env","CO2_ugdp_oecd_num_env","CH4_ugdp_oecd_num_env","N2O_ugdp_oecd_num_env","SOX_ugdp_oecd_num_env","NOX_ugdp_oecd_num_env","CO_ugdp_oecd_num_env","NMVOC_ugdp_oecd_num_env","GEP_env"
"NLD",1997,-0.0766593066027808,-0.76478003436696,-0.415648549344934,-0.402008294139081,-0.212740444745496,-0.533851657758376,0.503662980640177,-0.0635911013976442,0.438017328757098,0.155462020769173,0.0898655567688986
"NLD",1998,-0.0659065121416582,-0.776235751346672,-0.314420783031438,-0.307609732539212,-0.122289132440857,-0.421300550854676,0.587332928724591,0.0553288142205071,0.523565568835944,0.236335817930633,0.197940720845908
"NLD",1999,-0.240153854718244,-0.807481470622401,-0.0907263874010411,-0.132470277664611,-0.00314757691173947,-0.292972405892469,0.66563354339811,0.156277327624619,0.612709094700558,0.370788571913628,0.324305667139448
"NLD",2000,-0.244875018968747,-0.912830310813878,0.0386056542693271,-0.0265386852470034,0.110604246104995,-0.176920947604639,0.818214427281985,0.297844232191858,0.71157299331342,0.519292767160868,0.468418524316581
"NLD",2001,-0.216923166224424,-0.892165946544844,0.113340428059131,0.00136945765367209,0.18658865261586,-0.0478980103671337,0.839260895211257,0.391170439221527,0.754186614430643,0.680059901474752,0.537596509436208
"NLD",2002,-0.309680823824586,-0.921367591345743,0.162865286673853,0.0413283300260683,0.256543552785971,0.0380848228674089,0.912895056744641,0.461034433669198,0.781077877959489,0.761837704741226,0.600500118166833
"NLD",2003,-0.472039392740425,-0.831005743431521,0.193045315571952,0.0423886267943202,0.314002135204121,0.0718107641828219,0.967917897456793,0.501412260334503,0.806161482397093,0.815947311824154,0.639857977727641
"NLD",2004,-0.666137660646079,-0.914351604470867,0.264264192509631,0.110277201865675,0.380850902654338,0.0898400752365396,0.973031154752936,0.601762483409995,0.835794556900287,0.962172116887472,0.701545051709344
"NLD",2005,-0.652626942219533,-0.914431099091411,0.401834584799374,0.242641808263008,0.507984644406333,0.156803915167004,1.01915677519923,0.694649107320416,0.905733754923547,1.00450110640371,0.795710750218275
"NLD",2006,-0.567120093683172,-0.905047006138092,0.558777044481697,0.408515629159857,0.598550006204526,0.234841630822147,1.0566943129802,0.80402075695531,0.950223993092851,1.11341474016446,0.897397158500825
"NLD",2007,-0.545415511206543,-0.960127535139645,0.686073242932864,0.525810905851443,0.662917641515211,0.448198234150378,1.14022656435874,0.954400915808353,1.02494979330777,1.182664500596,1.02398620531098
"NLD",2008,-0.497074985753558,-0.923764951684389,0.764988657365549,0.569642425852257,0.69379882360617,0.899762488369552,1.28430716236566,1.0415063429404,1.05735999711343,1.26701522530959,1.12305570986092
"NLD",2009,-0.603683423528427,-0.852800611997265,0.761461538188124,0.571691634332559,0.674231902461152,0.89089117814922,1.47631907333204,1.12599795103832,1.09682802733044,1.22128958727826,1.21167914884475
"NLD",2010,-0.525891937497934,-0.732967064450322,0.702279851744867,0.492613689515062,0.705296204259677,0.960731740191926,1.57864047307388,1.18946053309945,1.12406128795353,1.2039149971188,1.25573485726698
"NLD",2011,-0.389399033479373,-0.713474867381711,0.892500164822694,0.695629079710657,0.774359145510763,1.03558215519115,1.63062248592329,1.32017832578881,1.19582872386469,1.2696159453127,1.38269561050602
"NLD",2012,-0.475559641361717,-0.590093547578056,0.944780824145047,0.747484644550034,0.80762999619878,1.07054068460946,1.63691518845625,1.42202418513764,1.25608281674397,1.30164847193051,1.44634272812386
"NLD",2013,-0.457142340370594,-0.433511913212582,0.978442520534055,0.778834659148659,0.825643981696495,1.06395040760895,1.77528394089478,1.4999847380871,1.32264681513674,1.34473060135107,1.53268926836884
"NLD",2014,-0.237001313315122,-0.442434070560215,1.1152494040598,0.920817073313251,0.885624613363951,1.08558096484488,1.81904369209056,1.69285535831991,1.40087245617175,1.46338101316552,1.67294081014431
"NLD",2015,-0.352735993558436,-0.414912709002416,1.08953895991434,0.888210474092437,0.906232851640046,1.0860187705952,1.82380263675619,1.75031409271487,1.42987243874161,1.46217363226362,1.69386731401464
