"country_text_id","year","imp_1","imp_2","imp_3","imp_4","imp_5","imp_6","imp_7","imp_8","imp_9","imp_10"
"POL",1996,-0.244177881996356,-0.249297438911984,-0.224092708976678,-0.231996661923447,-0.25096023818745,-0.251650275588108,-0.243584844359803,-0.247114924594907,-0.24254585799282,-0.232944091990739
"POL",1997,-0.131518861628834,-0.140182375251028,-0.115025007019017,-0.118614946418696,-0.149359751570217,-0.141841218835117,-0.133109313760905,-0.167631203941987,-0.138883154689943,-0.107508960194681
"POL",1998,0.0189589830608052,-0.00511583017312689,0.0186829935711611,0.0082383159079229,-0.00226298030169834,-0.0109856898236242,-0.00606745504423398,0.011438043716981,-0.00516783407116341,0.0197578677836312
"POL",1999,0.168404172748182,0.125775715755691,0.147727939928269,0.137401080672307,0.138608551103632,0.132619099217863,0.157961174448464,0.149423608778561,0.150678088192284,0.159855598265382
"POL",2000,0.0437980605377673,0.0308921696677316,0.00789091371186142,0.0462688670594877,0.0304382790559288,0.0107919816444129,0.0282063941925077,0.0293536692678169,0.0283484653456859,0.0445224808566848
"POL",2001,-0.0783058613511734,-0.084226797689257,-0.0843903720962942,-0.0656164855528869,-0.0875691255774361,-0.095345211434972,-0.0923088870815156,-0.103077843371147,-0.0848683546760538,-0.0725693237897464
"POL",2002,-0.18210175758431,-0.210158817940563,-0.191159382324895,-0.166732271890296,-0.182382710015542,-0.198882898462882,-0.180638706377415,-0.175048414780905,-0.216503235447028,-0.163035190231446
"POL",2003,-0.256422693411155,-0.290333041378327,-0.281039247695474,-0.269545408312627,-0.282515386999731,-0.289466935605202,-0.275465731347774,-0.284219444161262,-0.279876513856097,-0.266096867913674
"POL",2004,-0.356662048450177,-0.365876152329556,-0.356393213558557,-0.353175531971678,-0.347639506221674,-0.369204855876777,-0.392973243090513,-0.366938264069035,-0.371007034168881,-0.364235470841505
"POL",2005,-0.300510257210522,-0.315953893444143,-0.316862139473448,-0.316115508026922,-0.33457494082026,-0.312321295775837,-0.306079086549041,-0.28328332847574,-0.319393436595304,-0.316839803175964
"POL",2006,-0.23317377294792,-0.24374443336348,-0.258775356120017,-0.244936710426246,-0.256527649872912,-0.248125571609719,-0.257581687716179,-0.247202642409422,-0.228573942364898,-0.225967716425821
"POL",2007,-0.16918209634164,-0.165774499571019,-0.193931853584911,-0.160903246670034,-0.17047537552137,-0.177160024147956,-0.178203513940582,-0.1761146738257,-0.171173088058173,-0.169251535196597
"POL",2008,-0.212753294141016,-0.199572870997651,-0.223172362727569,-0.196572128178576,-0.200736779294878,-0.220581613941619,-0.223936011570649,-0.199428437980366,-0.206718738977364,-0.209701568073999
"POL",2009,-0.216855142635983,-0.226766497900264,-0.233583021968852,-0.236643843535571,-0.214391047660442,-0.257341006395709,-0.247367635785277,-0.227667959891822,-0.241247890089142,-0.215134646493029
"POL",2010,-0.240619294989991,-0.265386990497944,-0.283627037791418,-0.277583820447448,-0.274716959694719,-0.289235485649926,-0.285619077694772,-0.273696860981851,-0.268565462562525,-0.242412318198783
"POL",2011,-0.285901818542438,-0.330958623924289,-0.274595138389588,-0.297003177768405,-0.290389689951492,-0.303830388733791,-0.299038808854502,-0.304663073511369,-0.297965899574478,-0.292561030646138
"POL",2012,-0.345989858030805,-0.329515836529075,-0.34251162979832,-0.350243313928021,-0.344036907584153,-0.349859096497249,-0.335096740971074,-0.340203943747661,-0.3393367400311,-0.341664831916871
"POL",2013,-0.354565406724376,-0.369275701136917,-0.372997741281957,-0.388757640780025,-0.363478020165881,-0.397686708893284,-0.358052933288759,-0.349013066200984,-0.376359488670679,-0.369283232357139
"PRT",1976,-0.575453100922743,-0.454470066041355,-0.399957547801116,-0.466989501172672,0.0265368726079666,-0.217269009995279,-1.35864229061965,-0.538396640146425,-0.119848156996528,-0.30942526369927
"PRT",1977,-0.182341279544158,-0.101563906299007,-0.612851316211647,-0.494465432346027,-0.915392225885522,-0.82789784562871,-0.397111667650194,-0.75816397663944,-0.772426083599847,-0.924947936881572
"PRT",1978,-0.646679376360303,-0.526345213941412,-0.503177940838241,-0.701313381285298,-0.278259826952206,-0.525600864762349,-0.89978857354875,-0.431030159594516,-0.361287557139956,-0.860437064180908
"PRT",1979,-0.374314213833029,-0.501098264390299,-0.13280346065269,-0.341678078663313,-0.203331354344799,-0.190743363387196,-0.517588895798521,-0.197719563706177,-0.96573704742366,-0.540718026241184
"PRT",1980,-0.783072402157301,-0.491461289899448,-0.699559193278097,-0.139937804415608,-0.403162132651148,-0.263390379987355,-0.647979601538905,-0.630722096446729,-0.156625609071761,-0.783599515992735
"PRT",1981,-0.683005468832347,-0.206507875315739,-0.528361206985252,0.0220822373096296,-0.540245810209423,-0.824059434332032,-0.557145033701655,-0.468235176318037,-0.268165693824017,-0.721895861286526
"PRT",1982,-0.297587435890629,-0.325265291295896,-0.435748620876157,-0.388335159459631,0.031678332091983,-0.571967917909295,-0.353485744233446,-0.217226781514884,-0.0216396463260588,-0.564958645088784
"PRT",1983,-0.343974198520199,-0.572217100959931,-0.345755519206328,-0.548466516972823,-0.190236284202752,-0.511973578578471,-0.337887917667988,-0.142183681602122,-0.19284233176087,-0.345478987607651
"PRT",1984,-0.055758138638811,-0.472277195888304,0.426691399407594,0.0145336539311454,-0.280962181123916,-0.156754943912776,-0.281847821082556,-0.516819933336965,-0.255206698876205,-0.210982560649636
"PRT",1985,-0.187603792700335,-0.420797772354944,0.150240030417372,-0.696933289195461,-0.0410555277369636,-0.30025726121057,-0.215964079591022,0.0404797165359214,0.0856689992712489,-0.449077792085054
"PRT",1986,0.152043455987322,0.0638124396651758,-0.729717607681466,0.258995056249977,-0.347699723740235,-0.38050141883817,-0.55782606817602,-0.248498588130462,-0.255120102106481,0.157229030473249
"PRT",1987,-0.302748604556333,-0.0920765737422369,-0.463480316841342,0.0363016448708624,0.266318977341845,-0.133631422986047,-0.386476336863138,-0.660470091491009,-0.849319070920723,0.0807653778553722
"PRT",1988,-0.167497070512585,-0.475913227006973,-0.429283407646824,-0.273384047595464,0.0734105209379444,0.0842360464624799,-0.260814163745627,0.206918636067073,-0.214388550340742,-0.0390238974515453
"PRT",1989,-0.739756322598775,-0.151728716561133,0.117061040708046,-0.235818914606759,-0.0608117653328981,0.147117464185214,0.48952051566059,-0.158031070592714,-0.212777049556454,-0.123860694365618
"PRT",1990,0.544592867882129,0.0632476840454558,-0.0733995851846462,0.0273904293041493,-0.274316229498761,0.3591446141708,0.000424566828790304,-0.295583316078508,0.4301171565,-0.452275415765586
"PRT",1991,-0.22577405368414,0.26016797430511,0.033864201563674,-0.131837342228369,0.252524808918346,-0.509917999799781,0.12750687742026,-0.75280988079932,0.0625736093238475,0.0747100930587179
"PRT",1992,0.459552635710936,-0.100452378429326,-0.296086832033158,-0.681020967215212,0.221382227904283,0.44231975075711,-0.00635182830368773,0.477953570362944,0.111632914757127,0.269418065813645
