"country_text_id","year","order_safety_gdp_perc_oecd_num_ds","order_safety_gdpcapita_oecd_num_ds","hom_rate_unodc_num_ds","theft_rate_unodc_num_ds","burg_rate_unodc_num_ds","crime_rate_unodc_num_ds","orgacrime_gcr_num_ds","reliab_police_gcr_num_ds","trust_gwp_num_ds","domsec_ds"
"SRB",2008,0.725899442596453,-0.638762635581463,0.467744036577282,-0.733425632999947,-0.326108683891118,-0.668886985051713,-0.512657205111337,0.0263934520679873,-0.535452738509891,-0.125997493810098
"SRB",2009,1.21148755578471,-0.527675523258187,0.372563951994152,-0.780164265654639,-0.315576355931361,-0.690214617550958,-0.759289161203613,-0.268352577327534,-0.535452738509891,-0.357289108353901
"SRB",2010,0.829257342056388,-0.52303029248248,0.531121849374244,-0.723595815150768,-0.266587208833786,-0.636466624944947,-0.710893958914598,-0.607224226946245,-0.535452738509891,-0.589631336624485
"SRB",2011,0.641467681741479,-0.628763268750018,0.487489484136768,-0.659564697866791,-0.16121416135552,-0.552863892072892,-0.718788406174204,-0.369664714624501,-0.535452738509891,-0.438763606134566
"SRB",2012,0.819802666220034,-0.681018459267534,0.669752329786734,-0.643599188249576,-0.150237766016185,-0.539040278020283,-0.868233566298543,-0.212058836281227,-0.829564157570111,-0.279301523773655
"SRB",2013,1.26434225638753,-0.84258766809652,0.429807195638083,-0.281518202003632,0.33493384948294,-0.11974152055178,-0.986670465787242,-0.242298984824604,-0.829564157570111,-0.41169345893827
"SRB",2014,0.927418178663394,-0.800359224658568,0.586520600427864,-0.376717036287002,0.191502917043577,-0.236660649191298,-0.869178685290418,-0.407425177964364,-0.73107688976961,-0.493056623601367
"SRB",2015,0.675064997812606,-0.492779549940095,0.717812336261287,-0.432946281503249,0.0507714958132504,-0.33054462052525,-0.729727957483298,-0.407425177964364,-0.341592084510429,-0.371234029176262
"SRB",2016,0.761133138581265,-0.744633826661026,0.553294205265772,-0.486962523688259,-0.0512747844346558,-0.406116997624645,-0.864660419780478,-0.506194053318456,-0.0540143349474617,-0.565604876541994
"SRB",2017,0.727924448643561,-0.434128034626378,0.803154836134585,-0.636873032420804,-0.297173244092029,-0.599666509448827,-0.856155160123183,-0.281817899330103,0.229829334327536,-0.230806774823316
"SUR",2000,1.3271238048922,-1.43174284610179,-1.08525691908077,0.754149102546026,0.173479017363784,0.587950412374143,0.123831180928266,-0.462066897883819,-0.39582382874305,-1.14752234161375
"SUR",2001,0.939736582363106,-1.31292673202929,-1.17293395480241,0.918634114181039,0.0728189612023044,0.502881471678876,0.0628796854597064,-0.23738209355438,-0.290404213770958,-0.954072450716009
"SUR",2002,1.05415563683621,-1.33692689290138,-0.956066416406651,0.923013789784104,0.225694956935907,0.800610862476252,0.142787107054391,-0.297106352902644,-0.449838336987723,-0.953608927675162
"SUR",2003,1.01203661112179,-1.28825467818422,-0.984757789116175,1.19249600788586,0.302809815646315,0.999695089853269,0.255826261825966,-0.0830720797737217,-0.0713902208022162,-0.773725519311409
"SUR",2004,0.934523795742371,-1.42749557714412,-0.790530375246916,1.11247802184562,0.18537389037097,0.905748980910737,-0.0257713381984853,-0.281447231417046,0.00201735084628176,-0.924356342686602
