"country_text_id","year","water_ugdp_oecd_num_env","waste_ugdp_oecd_num_env","GHG_ugdp_oecd_num_env","CO2_ugdp_oecd_num_env","CH4_ugdp_oecd_num_env","N2O_ugdp_oecd_num_env","SOX_ugdp_oecd_num_env","NOX_ugdp_oecd_num_env","CO_ugdp_oecd_num_env","NMVOC_ugdp_oecd_num_env","air_env","abstraction_env"
"BEL",1999,-0.151495696737482,0.227306376289374,-0.432114951037871,-0.681154557487729,0.232470044447934,-0.522121966581236,-0.0811507200553415,-0.180289724172971,-0.0079611926175172,0.207505672697165,-0.162778923991555,-0.0384761795198889
"BEL",2000,-0.135103408695259,0.321391014805297,-0.33804285449054,-0.598968308737606,0.346886930559169,-0.354272720728161,-0.037007610855183,-0.122789189787295,-0.0181145673791792,0.385349419881662,-0.105559942175783,-0.0200415056287935
"BEL",2001,-0.0128551228642205,0.430684395872179,-0.262815559411724,-0.529727040920176,0.431513925822412,-0.263082672474185,0.00390004663227282,-0.0434097024634344,0.0626185940410565,0.447050599811554,-0.0374190998028081,0.0725892535230838
"BEL",2002,0.0683016632424327,0.420647993323337,-0.1939075909715,-0.466567676690355,0.521140918464157,-0.172603077822439,0.0634865789687258,0.0520050056514085,0.111136358909716,0.579130276772646,0.0393064659793498,0.11700593539927
"BEL",2003,0.110137601480175,0.602152128014355,-0.150125026270782,-0.438262446803552,0.623380624948527,-0.0122674057718416,0.103763682286122,0.0961848862896466,0.165714361204159,0.668721868066594,0.0843610694980668,0.178843194403405
"BEL",2004,0.216836266344266,0.648815145222352,-0.0511011361134067,-0.330808293926912,0.706140440422607,0.0467166453715377,0.13117632380268,0.130203055820987,0.271344314891767,0.821842977742368,0.130724394899098,0.265885101992695
"BEL",2005,0.31814351451853,0.819526993433965,0.093414894310044,-0.177499241090069,0.802028824112046,0.151385239674283,0.220289090709457,0.262468569607954,0.378911603766195,0.918865106605504,0.253217018599022,0.356164690603914
"BEL",2006,0.335314797140648,0.960371776449917,0.227964223536386,-0.0423491024945048,0.88404069163258,0.374991450499142,0.297501148690342,0.401700163842191,0.504422077096866,1.03245024703708,0.379052776595269,0.381829202536224
"BEL",2007,0.439587113782726,1.08359458218865,0.3885918699248,0.133588583671771,0.969938938619082,0.540293932814637,0.386061285672575,0.530647272710204,0.627186028947653,1.19246684851536,0.502793205884133,0.469229741214282
"BEL",2008,0.477481877817475,1.25700103460002,0.440666367050994,0.189470895183667,1.03494094643739,0.575578959172667,0.570727738752936,0.707438416881725,0.652293819156166,1.30205126617792,0.647837626924376,0.531755062231534
"BEL",2009,0.484082173578078,1.27144630980503,0.589335633202852,0.383729560562128,1.02469333362159,0.538865060869368,0.728662067218047,0.841695117708479,1.05624246259642,1.4054029275164,0.807137235635339,0.601414240064418
