"country_text_id","year","Combined_t_GI_num_soc","poverty9010_lis_num_soc","poverty8020_lis_num_soc","femlabor_wdi_num_soc","gini_wdi_num_soc","schools_gender_wdi_num_soc","pub_serv_gender_vdem_num_soc","pub_serv_social_vdem_num_soc","v2dlunivl_vdem_num_soc","Combined_t_GI_is_na","gini_lis_is_na","poverty9010_lis_is_na","poverty8020_lis_is_na","femlabor_wdi_is_na","gini_wdi_is_na","schools_gender_wdi_is_na","pub_serv_gender_vdem_is_na","pub_serv_social_vdem_is_na","v2dlunivl_vdem_is_na","eco_inequal_soc","soc_inequal_soc"
"ARG",2005,-1.48692933666587,-0.991012561455254,-1.06024570343761,-0.386054194634239,-0.79491042844031,0.743376725651067,0.497070432920904,0.210822947666753,-0.0772785993386313,1,1,1,1,0,0,0,1,1,0,-0.905003006191579,-0.693688249616234
"ARG",2006,-1.49103305168113,-1.02335950499897,-1.02192210546263,-0.341242950362656,-0.686105355571003,0.740002508682036,0.586751731235859,0.436356790599058,-0.0772785993386313,1,1,1,1,0,0,0,1,1,0,-0.875540342407452,-0.580729194227922
"ARG",2007,-1.26196090697334,-0.823278184337574,-0.961592770564207,-0.39313582676853,-0.656378926560654,0.762942329082999,0.498162954067652,0.412574777263993,-0.0772785993386313,1,1,1,1,0,0,0,1,1,0,-0.782233442312391,-0.509963602268925
"ARG",2008,-1.59134034613053,-0.967169419654604,-1.01714596259863,-0.443062048745422,-0.47738500610526,0.819500757531417,0.467172531726258,0.405706919301984,-0.0772785993386313,1,1,1,1,0,0,0,1,1,0,-0.860406522205442,-0.644445214966613
"ARG",2009,-1.45119153576974,-0.835264485479204,-0.681350069856108,-0.380910083789182,-0.41742444379769,0.916130117408857,0.522546734917775,0.506447716919368,-0.207756550012805,1,1,1,1,0,0,0,1,1,0,-0.560687536762051,-0.583998528576057
"ARG",2010,-1.38786789135596,-0.844420378847148,-0.909903737871474,-0.574201336551879,-0.327143055696607,0.97993166375308,0.468064316855585,0.403086418909114,-0.207756550012805,1,1,1,1,0,0,0,1,1,0,-0.743201925450245,-0.520410859555299
"ARG",2011,-1.26607782478108,-0.707176608539329,-0.806674670074978,-0.446448567310652,-0.256605758097823,1.0426005981534,0.526739610599295,0.502950749916832,-0.207756550012805,1,1,1,1,0,0,0,1,1,0,-0.626426265368568,-0.379780781703906
"ARG",2012,-1.14813502212229,-1.00082508871415,-0.964789959586245,-0.416388214535532,-0.145118395020463,1.06982068133989,0.531519324875255,0.443870663440033,0.0201669587598027,1,1,1,1,0,0,0,1,1,0,-0.808383624173071,-0.366825774908009
"ARG",2013,-1.10043813171144,-0.89864600061776,-0.659780694057457,-0.444165041028053,-0.124755529212903,1.08440445428673,0.562994155671537,0.550594724697582,0.0201669587598027,1,1,1,1,0,0,0,1,1,0,-0.541954952885905,-0.380704504318308
"ARG",2014,-1.23905830279313,-0.770862458591735,-0.646568607768677,-0.477553491916401,-0.165451694557363,1.08524839124203,0.461727124364101,0.584382420523983,0.0201669587598027,1,1,1,1,0,0,0,1,1,0,-0.509133892424739,-0.444391543367477
"ARG",2015,-1.08270078443393,-0.60908583833647,-0.599472779720217,-0.450014433730841,-0.216160529483753,1.08262604140241,0.426474562519257,0.475114673518032,0.0201669587598027,1,1,1,1,0,0,0,1,1,0,-0.437502438974751,-0.420204405526415
"ARG",2016,-1.31082308161036,-0.859096729073811,-0.91209064130074,-0.450966421734863,-0.266700908185541,1.02675331260325,0.578923961150075,0.422539741109528,-0.396041187694525,1,1,1,1,0,0,1,1,1,0,-0.744311751808241,-0.40281618588044
"ARG",2017,-1.38635475999295,-0.910894413145121,-0.930288268357841,-0.453892753009295,-0.266700908185541,1.03039650515655,0.529009304824594,0.341109716182113,-0.370441083448327,1,1,1,1,0,0,1,1,1,0,-0.772661410059445,-0.49527777748076
"AUS",1971,-1.7393127843156,-0.165303158335705,-0.432072486152122,-0.87102213913341,0.691921395783384,0.772608272007194,0.752507971282478,1.45626132766293,-0.0896657465545339,0,1,1,1,1,1,1,0,0,0,-0.196818208682088,-0.108078030022563
"AUS",1972,-1.65166465976636,-0.130670052821084,-0.249590611004481,-0.812096272190904,0.791816946277707,0.703931693189742,0.752507971282478,1.45626132766293,0.462801019274723,0,1,1,1,1,1,1,0,0,0,-0.0389047495203137,-0.162477048967095
"AUS",1973,-1.47343991327545,0.126853906629623,-0.0321233268465746,-0.798478687140176,0.977730087527372,0.820203571260579,0.892534347971636,1.57252306010505,0.540427141827713,0,1,1,1,1,1,1,0,0,0,0.198402307301972,0.0558537609325863
"AUS",1974,-1.51194273067998,-0.0524959907980657,-0.198731057204461,-0.364341864388368,0.835018624660242,1.01022427339037,0.892534347971636,1.57252306010505,0.540427141827713,0,1,1,1,1,1,1,0,0,0,0.0275749328258045,0.119536052885656
"AUS",1975,-1.51194273067998,-0.121419545237221,-0.0523310299218359,-0.62216964844205,0.846025462304507,0.803914910184106,0.892534347971636,1.57252306010505,0.540427141827713,0,1,1,1,1,1,1,0,0,0,0.127834124525326,-0.0307867820573105
"AUS",1976,-1.40890977989854,-0.161180210713367,-0.244641400618432,-0.588671439134755,0.715551389227183,0.99709533942626,0.892534347971636,1.57252306010505,0.0358573452332794,0,1,1,1,1,1,1,0,0,0,-0.0344543124294624,0.134717356795993
"AUS",1977,-1.38297537474586,-0.112225603904525,-0.388417997543117,-0.458226461014928,0.482161383867814,1.00986528568365,0.892534347971636,1.57252306010505,0.0358573452332794,0,1,1,1,1,1,1,0,0,0,-0.141136892537966,0.210360631701943
"AUS",1978,-1.38297537474586,-0.269280698978313,-0.376520566129294,-0.470066685754048,0.754319352555569,1.06738442245812,0.892534347971636,1.57252306010505,0.0358573452332794,0,1,1,1,1,1,1,0,0,0,-0.159913779153637,0.193555318726141
"AUS",1979,-1.38297537474586,-0.0413731567338729,-0.371355693461287,-0.558066884833931,0.857395945775561,1.06364361074506,0.892534347971636,1.57252306010505,0.0358573452332794,0,1,1,1,1,1,1,0,0,0,-0.106737323288907,0.261244341611576
